SECTOR IES,NIVEL DE FORMACIÓN,NIVEL ACADÉMICO,MODALIDAD,ÁREA DE CONOCIMIENTO,CARÁCTER IES,IES ACREDITADA,PROGRAMA ACREDITADO,SEXO,DEPARTAMENTO DE OFERTA DEL PROGRAMA,SEMESTRE,MATRICULADOS,GRADUADOS,MATRICULADOS PRIMER CURSO,TASA_NO_GRADUACION,RIESGO_DESERCION
Privado,Especialización médico quirúrgica,Posgrado,Presencial,Ciencias de la salud,Universidad,Si,No,Masculino,Atlántico,2.0,11.0,3.0,2.0,0.7272727272727273,1
Oficial,Universitario,Pregrado,Presencial,"Agronomía, veterinaria y afines",Universidad,Si,No,Femenino,Córdoba,1.0,140.0,8.0,18.0,0.9428571428571428,1
Oficial,Universitario,Pregrado,Presencial,"Agronomía, veterinaria y afines",Universidad,Si,No,Femenino,Sucre,1.0,1.0,0.0,0.0,1.0,1
Oficial,Universitario,Pregrado,Presencial,"Agronomía, veterinaria y afines",Universidad,Si,No,Femenino,Córdoba,2.0,138.0,12.0,20.0,0.9130434782608696,1
Oficial,Universitario,Pregrado,Presencial,"Agronomía, veterinaria y afines",Universidad,Si,No,Masculino,Córdoba,1.0,190.0,4.0,22.0,0.9789473684210527,1
Oficial,Universitario,Pregrado,Presencial,"Agronomía, veterinaria y afines",Universidad,Si,No,Masculino,Córdoba,2.0,194.0,7.0,20.0,0.9639175257731959,1
Privado,Especialización universitaria,Posgrado,Presencial,Bellas artes,Universidad,Si,No,Femenino,"Bogotá, D.C.",1.0,11.0,6.0,8.0,0.4545454545454546,0
Privado,Especialización universitaria,Posgrado,Presencial,Bellas artes,Universidad,Si,No,Femenino,"Bogotá, D.C.",2.0,12.0,3.0,4.0,0.75,1
Privado,Especialización universitaria,Posgrado,Presencial,Bellas artes,Universidad,Si,No,Masculino,"Bogotá, D.C.",1.0,12.0,5.0,5.0,0.5833333333333333,1
Privado,Especialización universitaria,Posgrado,Presencial,Bellas artes,Universidad,Si,No,Masculino,"Bogotá, D.C.",2.0,9.0,8.0,6.0,0.11111111111111116,0
Privado,Universitario,Pregrado,Presencial,Ciencias sociales y humanas,Universidad,Si,No,Femenino,Valle del Cauca,1.0,453.0,40.0,99.0,0.9116997792494481,1
Privado,Universitario,Pregrado,Presencial,Ciencias sociales y humanas,Universidad,Si,No,Femenino,Valle del Cauca,2.0,490.0,19.0,89.0,0.9612244897959183,1
