SECTOR IES,NIVEL DE FORMACIÓN,NIVEL ACADÉMICO,MODALIDAD,ÁREA DE CONOCIMIENTO,CARÁCTER IES,IES ACREDITADA,PROGRAMA ACREDITADO,SEXO,DEPARTAMENTO DE OFERTA DEL PROGRAMA,SEMESTRE,MATRICULADOS,GRADUADOS,MATRICULADOS PRIMER CURSO,TASA_NO_GRADUACION,RIESGO_DESERCION,PROB_RIESGO_ALTO,PRED_RIESGO
Oficial,Maestría,Posgrado,Presencial,Bellas artes,Universidad,Si,No,Masculino,Santander,1.0,4.0,0.0,0.0,1.0,1,89.0,1
Oficial,Maestría,Posgrado,Presencial,Bellas artes,Universidad,Si,No,Masculino,Santander,2.0,5.0,2.0,0.0,0.6,1,78.0,1
Oficial,Maestría,Posgrado,Presencial,Ciencias de la educación,Universidad,Si,No,Femenino,Risaralda,1.0,12.0,0.0,0.0,1.0,1,97.0,1
Oficial,Maestría,Posgrado,Presencial,Ciencias de la educación,Universidad,Si,No,Femenino,Risaralda,2.0,10.0,4.0,0.0,0.6,1,85.0,1
Oficial,Maestría,Posgrado,Presencial,Ciencias de la educación,Universidad,Si,No,Masculino,Risaralda,1.0,12.0,0.0,0.0,1.0,1,99.0,1
Oficial,Maestría,Posgrado,Presencial,Ciencias de la educación,Universidad,Si,No,Masculino,Risaralda,2.0,10.0,5.0,0.0,0.5,0,33.0,0
Privado,Maestría,Posgrado,Presencial,"Economía, administración, contaduría y afines",Universidad,Si,No,Femenino,"Bogotá, D.C.",1.0,5.0,5.0,0.0,0.0,0,32.0,0
Privado,Maestría,Posgrado,Presencial,"Economía, administración, contaduría y afines",Universidad,Si,No,Femenino,"Bogotá, D.C.",2.0,8.0,6.0,0.0,0.25,0,35.1,0
Privado,Maestría,Posgrado,Presencial,"Economía, administración, contaduría y afines",Universidad,Si,No,Masculino,"Bogotá, D.C.",1.0,18.0,10.0,0.0,0.4444444444444444,0,13.0,0
Privado,Maestría,Posgrado,Presencial,"Economía, administración, contaduría y afines",Universidad,Si,No,Masculino,"Bogotá, D.C.",2.0,24.0,8.0,0.0,0.6666666666666667,1,95.0,1
Oficial,Especialización universitaria,Posgrado,Presencial,"Agronomía, veterinaria y afines",Universidad,Si,No,Femenino,Tolima,1.0,4.0,0.0,0.0,1.0,1,89.0,1
Oficial,Especialización universitaria,Posgrado,Presencial,"Agronomía, veterinaria y afines",Universidad,Si,No,Masculino,Tolima,1.0,5.0,0.0,0.0,1.0,1,89.0,1
Privado,Maestría,Posgrado,Presencial,Bellas artes,Universidad,Si,No,Femenino,Antioquia,1.0,3.0,3.0,0.0,0.0,0,33.0,0
Privado,Maestría,Posgrado,Presencial,Bellas artes,Universidad,Si,No,Femenino,Antioquia,2.0,7.0,0.0,3.0,1.0,1,66.6,1
Privado,Maestría,Posgrado,Presencial,Bellas artes,Universidad,Si,No,Masculino,Antioquia,1.0,6.0,2.0,0.0,0.6666666666666667,1,87.0,1
Privado,Maestría,Posgrado,Presencial,Bellas artes,Universidad,Si,No,Masculino,Antioquia,2.0,3.0,0.0,2.0,1.0,1,96.0,1
Privado,Especialización universitaria,Posgrado,Presencial,Ciencias de la educación,Universidad,No,No,Femenino,Nariño,1.0,4.0,2.0,4.0,0.5,0,25.0,0
Privado,Especialización universitaria,Posgrado,Presencial,Ciencias de la educación,Universidad,No,No,Femenino,Nariño,2.0,2.0,3.0,0.0,0.0,0,18.1,0
Privado,Especialización universitaria,Posgrado,Presencial,Ciencias de la educación,Universidad,No,No,Masculino,Nariño,1.0,32.0,11.0,26.0,0.65625,1,92.0,1
Privado,Especialización universitaria,Posgrado,Presencial,Ciencias de la educación,Universidad,No,No,Masculino,Nariño,2.0,30.0,30.0,12.0,0.0,0,23.0,0
Privado,Especialización universitaria,Posgrado,Presencial,Ciencias de la educación,Universidad,No,No,Femenino,Nariño,1.0,69.0,4.0,64.0,0.9420289855072465,1,97.0,1
Privado,Especialización universitaria,Posgrado,Presencial,Ciencias de la educación,Universidad,No,No,Femenino,Nariño,2.0,137.0,37.0,80.0,0.7299270072992701,1,88.0,1
Privado,Especialización universitaria,Posgrado,Presencial,Ciencias de la educación,Universidad,No,No,Masculino,Nariño,1.0,13.0,0.0,13.0,1.0,1,91.0,1
Privado,Especialización universitaria,Posgrado,Presencial,Ciencias de la educación,Universidad,No,No,Masculino,Nariño,2.0,27.0,7.0,19.0,0.7407407407407407,1,84.0,1
Privado,Universitario,Pregrado,Presencial,Ciencias sociales y humanas,Universidad,Si,No,Femenino,Santander,1.0,24.0,0.0,5.0,1.0,1,100.0,1
Privado,Universitario,Pregrado,Presencial,Ciencias sociales y humanas,Universidad,Si,No,Femenino,Santander,2.0,20.0,0.0,0.0,1.0,1,94.0,1
Privado,Universitario,Pregrado,Presencial,Ciencias sociales y humanas,Universidad,Si,No,Masculino,Santander,1.0,119.0,0.0,25.0,1.0,1,100.0,1
Privado,Universitario,Pregrado,Presencial,Ciencias sociales y humanas,Universidad,Si,No,Masculino,Santander,2.0,115.0,0.0,6.0,1.0,1,100.0,1
Privado,Especialización universitaria,Posgrado,Virtual,Ciencias de la educación,Institución Universitaria/Escuela Tecnológica,No,No,Femenino,"Bogotá, D.C.",1.0,16.0,0.0,14.0,1.0,1,91.0,1
Privado,Especialización universitaria,Posgrado,Virtual,Ciencias de la educación,Institución Universitaria/Escuela Tecnológica,No,No,Femenino,"Bogotá, D.C.",2.0,26.0,8.0,11.0,0.6923076923076923,1,81.0,1
Privado,Especialización universitaria,Posgrado,Virtual,Ciencias de la educación,Institución Universitaria/Escuela Tecnológica,No,No,Masculino,"Bogotá, D.C.",1.0,17.0,0.0,15.0,1.0,1,96.0,1
Privado,Especialización universitaria,Posgrado,Virtual,Ciencias de la educación,Institución Universitaria/Escuela Tecnológica,No,No,Masculino,"Bogotá, D.C.",2.0,19.0,2.0,6.0,0.8947368421052632,1,83.0,1
Privado,Especialización universitaria,Posgrado,Virtual,"Agronomía, veterinaria y afines",Institución Universitaria/Escuela Tecnológica,No,No,Femenino,"Bogotá, D.C.",1.0,26.0,3.0,16.0,0.8846153846153846,1,98.0,1
Privado,Especialización universitaria,Posgrado,Virtual,"Agronomía, veterinaria y afines",Institución Universitaria/Escuela Tecnológica,No,No,Femenino,"Bogotá, D.C.",2.0,39.0,11.0,21.0,0.717948717948718,1,95.0,1
